,Ask,Bid,Expiry,Last,Open_Int,Quote_Time,Root,Strike,Symbol,Type,Underlying_Price,Update_Date,Update_Time,Vol,_id,iteration,Alert Level,Fifty Percent,Buy Price,Sell Price,Return Percent,Profit
2,0.93,0.89,2017-04-21,0.82,226.0,2017-03-06T10:16:03.000Z,AAL,42.0,AAL170421P00042000,p,44.58,20170306,15:46:31,508.0,AAL_20170421_20170306_7_p_42.0,7.0,-0.047842802221273004,True,0.93,0.11,-0.8817204301075269,76.0
2,0.94,0.85,2017-06-16,0.89,530.0,2017-04-27T10:16:04.000Z,AAL,41.0,AAL170616P00041000,p,43.23,20170427,16:41:24,3.0,AAL_20170616_20170427_7_p_41.0,7.0,-0.06831896551724141,True,0.94,0.0,-1.0,88.0
2,1.15,1.04,2017-06-16,0.69,55.0,2017-05-17T10:16:04.000Z,AAL,44.0,AAL170616P00044000,p,45.21,20170517,16:41:29,11.0,AAL_20170616_20170517_7_p_44.0,7.0,-0.036855560289731505,True,1.15,0.01,-0.9913043478260869,107.99999999999999
6,1.01,1.0,2017-10-15,0.75,251.0,2017-08-23T10:19:16.000Z,AAL,39.0,AAL171015P00039000,p,43.7,20170823,16:54:41,1.0,AAL_20171015_20170823_7_p_39.0,7.0,-0.03765690376569024,True,1.01,0.01,-0.9900990099009901,94.0
3,1.1,1.0,2017-05-19,1.2,30.0,2017-03-21T10:16:02.000Z,AAN,27.0,AAN170519P00027000,p,28.41,20170321,17:03:06,30.0,AAN_20170519_20170321_7_p_27.0,7.0,-0.031697341513292426,True,1.1,0.0,-1.0,104.00000000000001
13,1.01,0.93,2017-10-27,1.0,4923.0,2017-09-11T10:10:09.000Z,AAL,41.0,AAL171027P00041000,p,45.07,20170911,16:56:03,18.0,AAL_20171027_20170911_7_p_41.0,7.0,0.033715596330275203,True,1.01,0.01,-0.9900990099009901,94.0
1,1.1,0.9,2017-06-16,1.0,364.0,2017-05-05T10:16:03.000Z,AAOI,45.0,AAOI170616P00045000,p,53.84,20170505,17:19:09,73.0,AAOI_20170616_20170505_7_p_45.0,7.0,0.1501815851313822,True,1.1,0.05,-0.9545454545454545,99.0
32,0.84,0.81,2017-11-17,1.06,12579.0,2017-10-03T10:10:03.000Z,AAL,42.0,AAL171117P00042000,p,49.67,20171003,16:50:38,1.0,AAL_20171117_20171003_7_p_42.0,7.0,0.04064529645925005,True,0.84,0.09,-0.8928571428571429,69.0
9,1.0,0.85,2017-06-16,0.89,1543.0,2017-05-23T10:16:03.000Z,AAOI,55.0,AAOI170616P00055000,p,68.37,20170523,17:19:19,60.0,AAOI_20170616_20170523_7_p_55.0,7.0,-0.040286355979786505,True,1.0,0.05,-0.95,89.0
13,1.05,1.0,2017-08-18,0.7,32.0,2017-06-29T10:11:15.000Z,AAN,35.0,AAN170818P00035000,p,38.83,20170629,17:01:29,14.0,AAN_20170818_20170629_7_p_35.0,7.0,-0.03215353938185442,True,1.05,0.3,-0.7142857142857143,69.0
44,0.94,0.91,2017-11-24,0.94,7710.0,2017-10-10T10:10:04.000Z,AAL,45.0,AAL171124P00045000,p,53.09,20171010,16:51:30,60.0,AAL_20171124_20171010_7_p_45.0,7.0,0.04920948616600794,True,0.94,0.84,-0.10638297872340424,3.9999999999999982
8,1.05,0.85,2017-08-18,1.5,41.0,2017-07-19T10:11:14.000Z,AAN,37.0,AAN170818P00037000,p,40.19,20170719,17:01:40,4.0,AAN_20170818_20170719_7_p_37.0,7.0,0.03555784591600091,True,1.05,0.05,-0.9523809523809523,94.0
37,1.3,1.05,2017-07-28,1.3,25.0,2017-06-21T10:11:20.000Z,AAOI,50.0,AAOI170728P00050000,p,63.47,20170621,17:17:06,2.0,AAOI_20170728_20170621_7_p_50.0,7.0,0.039129011132940414,True,1.3,0.05,-0.9615384615384615,119.0
10,1.15,0.9,2017-08-18,0.9,230.0,2017-06-26T10:11:18.000Z,AAOI,35.0,AAOI170818P00035000,p,61.31,20170626,17:07:25,4.0,AAOI_20170818_20170626_7_p_35.0,7.0,-0.06922726582662823,False,1.15,0.95,-0.17391304347826084,13.999999999999996
8,1.15,0.9,2017-07-21,1.0,1715.0,2017-06-28T10:11:18.000Z,AAOI,50.0,AAOI170721P00050000,p,60.27,20170628,17:16:42,7.0,AAOI_20170721_20170628_7_p_50.0,7.0,0.031314168377823505,True,1.15,0.05,-0.9565217391304347,103.99999999999999
2,0.95,0.85,2017-10-15,0.95,74.0,2017-09-18T10:10:07.000Z,AAN,35.0,AAN171015P00035000,p,39.99,20170918,17:05:24,9.0,AAN_20171015_20170918_7_p_35.0,7.0,-0.06783216783216775,True,0.95,0.3,-0.6842105263157894,58.999999999999986
45,1.3,0.8,2017-08-25,1.0,12.0,2017-07-19T10:11:14.000Z,AAOI,50.0,AAOI170825P00050000,p,92.95,20170719,17:07:51,10.0,AAOI_20170825_20170719_7_p_50.0,7.0,0.030716345087602525,True,1.3,0.05,-0.9615384615384615,119.0
4,1.3,1.0,2017-11-17,1.05,581.0,2017-10-27T10:10:06.000Z,AAN,40.0,AAN171117P00040000,p,40.17,20171027,17:04:06,6.0,AAN_20171117_20171027_7_p_40.0,7.0,-0.04900568181818182,False,1.3,4.2,2.230769230769231,-296.00000000000006
51,1.25,0.95,2017-09-15,1.1,2408.0,2017-08-04T10:11:22.000Z,AAOI,55.0,AAOI170915P00055000,p,72.91,20170804,17:30:00,107.0,AAOI_20170915_20170804_7_p_55.0,7.0,-0.25594448413103377,True,1.25,0.1,-0.9199999999999999,108.99999999999999
67,0.99,0.94,2017-09-15,0.96,16574.0,2017-08-02T10:11:25.000Z,AAPL,145.0,AAPL170915P00145000,p,156.58,20170802,18:32:50,4232.0,AAPL_20170915_20170802_7_p_145.0,7.0,0.04351882705764745,True,0.99,0.01,-0.98989898989899,92.0
0,1.25,0.8,2017-09-15,1.0,1855.0,2017-08-14T10:11:22.000Z,AAOI,55.0,AAOI170915P00055000,p,68.07,20170814,17:30:09,19.0,AAOI_20170915_20170814_7_p_55.0,7.0,0.033869987849331554,True,1.25,0.1,-0.9199999999999999,108.99999999999999
11,1.25,1.05,2017-12-15,1.5,377.0,2017-11-02T10:10:04.000Z,AAOI,30.0,AAOI171215P00030000,p,41.45,20171102,17:12:16,60.0,AAOI_20171215_20171102_7_p_30.0,7.0,0.06363869643315381,True,1.25,0.35,-0.72,84.0
63,1.18,0.93,2017-09-29,1.14,20.0,2017-09-07T10:10:08.000Z,ABBV,78.5,ABBV170929P00078500,p,79.5,20170907,19:13:36,20.0,ABBV_20170929_20170907_7_p_78.5,7.0,0.03179753406878654,True,1.18,0.01,-0.9915254237288136,111.0
21,0.93,0.82,2017-11-17,1.5,1369.0,2017-09-28T10:10:10.000Z,ABBV,75.0,ABBV171117P00075000,p,89.51,20170928,19:09:01,16.0,ABBV_20171117_20170928_7_p_75.0,7.0,0.05616519174041304,True,0.93,0.03,-0.9677419354838709,84.0
6,1.2,0.9,2017-10-27,1.0,74.0,2017-09-14T10:10:06.000Z,ABC,72.5,ABC171027P00072500,p,80.89,20170914,19:24:11,10.0,ABC_20171027_20170914_7_p_72.5,7.0,-0.04067836812144204,True,1.2,0.05,-0.9583333333333333,108.99999999999999
33,1.2,0.95,2017-11-17,1.34,15.0,2017-10-27T10:10:06.000Z,ABBV,89.5,ABBV171117P00089500,p,92.49,20171027,19:09:17,4.0,ABBV_20171117_20171027_7_p_89.5,7.0,0.0327154979901741,True,1.2,0.09,-0.9249999999999999,104.99999999999999
